ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BFA,Burkina Faso,0.305577648,0.305557251,0.305782756,0.306069127,0.310606551,0.315056041,0.312895125,0.310809233,0.314704143,0.310610663,0.294058712,0.255027069,0.267946971,0.272611948,0.287717458,0.286931216,0.279164319,0.278167355,0.272660105,0.276031985,0.279994613,0.301649263,0.303197855,0.301590922,0.294181968,0.290420089
BDI,Burundi,0.238975181,0.238971199,0.239088699,0.239208522,0.246027843,0.252918126,0.253962831,0.255404686,0.256898588,0.25356362,0.258188779,0.234092436,0.231833108,0.231409871,0.229418951,0.207103494,0.202710296,0.202527346,0.230769884,0.274148181,0.258323449,0.269160144,0.269946409,0.267596603,0.267989632,0.267934246
KHM,Cambodia,0.282890948,0.283055837,0.280686711,0.278738781,0.285544375,0.292359645,0.290557038,0.288944209,0.286526777,0.287612618,0.279771864,0.270399524,0.272226981,0.278566538,0.278790063,0.275551828,0.278580303,0.289833338,0.281862725,0.287473263,0.284599122,0.29381764,0.289341088,0.286622516,0.285787503,0.281663243
CMR,Cameroon,0.262704168,0.262709011,0.272161608,0.281628921,0.282688321,0.283629028,0.280774167,0.278482115,0.289324232,0.289133784,0.276094745,0.253189022,0.252075292,0.251205153,0.249126951,0.243544056,0.251418891,0.25212774,0.256288049,0.258232591,0.255641432,0.265292735,0.262081894,0.261371541,0.258903576,0.258881746
CAN,Canada,0.592812519,0.594649294,0.598346476,0.596065351,0.603664893,0.609556695,0.610422591,0.611150253,0.609688724,0.622364295,0.634452291,0.679046446,0.679538691,0.683336043,0.684834416,0.665212929,0.673357723,0.672087006,0.674216835,0.686097147,0.678855698,0.668240773,0.665565119,0.657778876,0.657830087,0.651613874
CPV,Cape Verde,0.406030317,0.406144236,0.402686314,0.399233917,0.402240601,0.405506636,0.396170079,0.388218155,0.393689946,0.394659573,0.41646149,0.387561737,0.390781594,0.39713449,0.399715181,0.397467117,0.413183479,0.419646194,0.421931306,0.440686383,0.442857929,0.44019299,0.439332661,0.437423888,0.437268105,0.443865532
CAF,Central African Republic,0.253861346,0.253871867,0.25591759,0.257963093,0.255415003,0.252836109,0.24939289,0.245943052,0.240723913,0.231095928,0.22009214,0.161669348,0.15848337,0.159431642,0.159223616,0.138253172,0.13835565,0.145015866,0.128610779,0.116308725,0.120831413,0.144026252,0.14196427,0.140626724,0.140378798,0.135595938
TCD,Chad,0.246091437,0.24609251,0.248311936,0.250602419,0.25527296,0.259955336,0.255732687,0.251574462,0.243903064,0.240095057,0.220887503,0.175604733,0.174585602,0.166165652,0.173117286,0.162692636,0.165020651,0.170084836,0.169765655,0.166853852,0.172092017,0.18564715,0.1880629,0.186014126,0.189359742,0.191685215
CHL,Chile,0.443319231,0.444764436,0.438704183,0.435008031,0.44524931,0.456699436,0.465134404,0.476785465,0.467619121,0.471736617,0.483630009,0.498244808,0.510347691,0.515069486,0.512168899,0.524215148,0.530215212,0.545514911,0.551247035,0.568770791,0.563490213,0.548302369,0.547520167,0.548692245,0.541958965,0.542727548
CHN,China,0.363026012,0.363952906,0.361368314,0.358904994,0.359429461,0.362937671,0.359736887,0.358712639,0.367745708,0.371098056,0.399743987,0.478396119,0.492925577,0.51233787,0.52559389,0.563529997,0.566907912,0.572127185,0.579380172,0.434592265,0.448223131,0.449793679,0.459835472,0.464982284,0.5315233,0.552967567
COL,Colombia,0.289420512,0.289825431,0.292040272,0.294869557,0.294110921,0.29553309,0.299246063,0.302889503,0.300736221,0.306125474,0.317110069,0.296586871,0.302216221,0.31392235,0.328710953,0.342322034,0.356430705,0.356288534,0.358526354,0.38106187,0.381351273,0.380572457,0.379424406,0.375968981,0.374006643,0.378494336
